Ranking,Category,Description,ImageUrl,Price,AverageRating,RatingCount,Url,Asin
#23,Gesundheit & Körperpflege,Natürliches Öl für die Rasur: Shaving Oil Rasieröl (50 ml) Naturkosmetik der BROOKLYN SOAP…,"https://images-eu.ssl-images-amazon.com/images/I/91QaZs17w2L._AC_UL200_SR200,200_.jpg","6,77 ","4,2",195,https://www.amazon.de/Nat%C3%BCrliches-f%C3%BCr-die-Rasur-Naturkosmetik/dp/B07C6C2Q8K/ref=zg_bs_9418400031_23/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07C6C2Q8K
#24,Gesundheit & Körperpflege,Dr. Severin® Women Original After Shave Balsam I Gegen Rasierpickel & Rötungen I Rasur Epilation…,"https://images-eu.ssl-images-amazon.com/images/I/81rDeT7va8L._AC_UL200_SR200,200_.jpg","33,10 ","4,1",1.083,https://www.amazon.de/Dr-Severin-Original-Balsam-Pumpspender/dp/B01KFREM9C/ref=zg_bs_9418400031_24/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B01KFREM9C
#25,Gesundheit & Körperpflege,"LifeArt Blaue Licht Blockieren Brille, Anti-Augen-Müdigkeit, Computer Lesebrillen, TV Brille für…","https://images-eu.ssl-images-amazon.com/images/I/71gnYcUWIdL._AC_UL200_SR200,200_.jpg","20,47 ","4,3",2.947,https://www.amazon.de/Blaufilterbrille-Bildschirmbrille-fortgeschrittene-Computerbrille-Bernsteinglas/dp/B01NCS1FTT/ref=zg_bs_9418400031_25/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B01NCS1FTT
#26,Gesundheit & Körperpflege,"400g Süß Wax Brazilian Wax zur Enthaarung mit Vlies 100% Natürlich. Warmwachs aus Zucker,…","https://images-eu.ssl-images-amazon.com/images/I/91Eu98PS4YL._AC_UL200_SR200,200_.jpg","13,99 ","4,3",78,https://www.amazon.de/Enthaarung-Nat%C3%BCrlich-Brazilianische-Zuckerpaste-Vliesstreifen/dp/B00KDLJBXI/ref=zg_bs_9418400031_26/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B00KDLJBXI
#27,Gesundheit & Körperpflege,BROOKYLN SOAP COMPANY® · After Shave Balsam (75ml) · Natürliche Männerpflege nach…,"https://images-eu.ssl-images-amazon.com/images/I/91iJO4VPlgL._AC_UL200_SR200,200_.jpg","5,72 ","4,4",57,https://www.amazon.de/Nat%C3%BCrliche-M%C3%A4nnerpflege-antibakteriell-Naturkosmetik-Geschenkidee/dp/B07CK4ZS3Z/ref=zg_bs_9418400031_27/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07CK4ZS3Z
#28,Gesundheit & Körperpflege,Merula Cup XL fox (orange) – Die Menstruationstasse für die sehr starken Tage,"https://images-eu.ssl-images-amazon.com/images/I/81sTn-E19hL._AC_UL200_SR200,200_.jpg","28,17 ","4,4",785,https://www.amazon.de/Merula-Cup-fox-orange-Menstruationstasse/dp/B07HCKDHY3/ref=zg_bs_9418400031_28/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07HCKDHY3
#29,Gesundheit & Körperpflege,"Kollagen und Hyaloronsäure Booster - VEGAN Vitamin Komplex hochdosiert: Vitamin E,C,B D,…","https://images-eu.ssl-images-amazon.com/images/I/81s%2Bt6oRDBL._AC_UL200_SR200,200_.jpg","49,85 ","4,3",242,https://www.amazon.de/Kollagen-Hyalorons%C3%A4ure-Booster-hochdosiert-Glutenfrei/dp/B07PDGT29G/ref=zg_bs_9418400031_29/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07PDGT29G
#30,Gesundheit & Körperpflege,"100% Reines Lavendelöl von Lavodia - 100ml natürliches, ätherisches Lavendel Öl (Lavandula…","https://images-eu.ssl-images-amazon.com/images/I/71FgvlW-7-L._AC_UL200_SR200,200_.jpg","16,95 ","4,3",111,https://www.amazon.de/100-Reines-Lavendel%C3%B6l-von-Lavodia/dp/B075D92HSZ/ref=zg_bs_9418400031_30/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B075D92HSZ
#31,Gesundheit & Körperpflege,"Haltungskorrektor für Männer und Frauen, Oberer Rückenbügel zur Unterstützung des…","https://images-eu.ssl-images-amazon.com/images/I/711njCvkRWL._AC_UL200_SR200,200_.jpg","17,99 ","3,5",3.578,https://www.amazon.de/Haltungskorrektur-Schl%C3%BCsselbein-verstellbarer-R%C3%BCckengl%C3%A4tter-Schmerzlinderung/dp/B07X1KXBD4/ref=zg_bs_9418400031_31/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B07X1KXBD4
#32,Gesundheit & Körperpflege,"Einhorn Kondome - Wochenration, Vegan, Hormonfrei, Feucht, Geprüft, Farblich sotiert, 7…","https://images-eu.ssl-images-amazon.com/images/I/91sBjZzSWML._AC_UL200_SR200,200_.jpg","9,04 ","4,3",75,https://www.amazon.de/einhorn-Kondome-Wochenration-BILDERR%C3%84TSEL-Hormonfrei/dp/B014J0T69M/ref=zg_bs_9418400031_32/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B014J0T69M
#33,Gesundheit & Körperpflege,Uni-Boxx (13 Teile) Geschenk für Studenten zur Lernmotivation in Studium & Prüfungszeit –…,"https://images-eu.ssl-images-amazon.com/images/I/91linEJzZ7L._AC_UL200_SR200,200_.jpg","19,90 ","4,2",71,https://www.amazon.de/Uni-Boxx-Geschenk-Studenten-Lernmotivation-Pr%C3%BCfungszeit/dp/B01N1QX8UB/ref=zg_bs_9418400031_33/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B01N1QX8UB
#34,Gesundheit & Körperpflege,Omega 3 Kapseln 2000mg - Fischöl 660 EPA 440 DHA pro Portion - 180 Weiche Gele - Hochdosiert…,"https://images-eu.ssl-images-amazon.com/images/I/81WEEcDOQML._AC_UL200_SR200,200_.jpg","17,89 ","4,3",636,https://www.amazon.de/NutriZing-hochdosiert-Portion-180-supplement-Nahrungserg%C3%A4nzungsmittel/dp/B01LXOQ54Z/ref=zg_bs_9418400031_34/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B01LXOQ54Z
#35,Gesundheit & Körperpflege,"Basalthermometer zur Zykluskontrolle mit App (iOS & Android) von Ovy | Kinderwunsch, Baby…","https://images-eu.ssl-images-amazon.com/images/I/71SgUhtWp-L._AC_UL200_SR200,200_.jpg","19,90 ","3,9",513,https://www.amazon.de/Basalthermometer-Zykluskontrolle-Ovy-Kinderwunsch-Fieberthermometer/dp/B072FP9B19/ref=zg_bs_9418400031_35/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B072FP9B19
#36,Gesundheit & Körperpflege,"ThinOptics-Lesebrillen als Schlüsselanhänger. Transparenter Rahmen, Stärke 1,00","https://images-eu.ssl-images-amazon.com/images/I/61GUb-cg0nL._AC_UL200_SR200,200_.jpg","22,49 ","4,4",3.730,https://www.amazon.de/ThinOptics-Lesebrillen-Schl%C3%BCsselanh%C3%A4nger-Transparenter-Rahmen-St%C3%A4rke/dp/B01MUG5X66/ref=zg_bs_9418400031_36/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B01MUG5X66
#37,Gesundheit & Körperpflege,Your Superfoods Super Green Superfood - Bio Vegan Mix Trinkpulver zur Unterstützung des…,"https://images-eu.ssl-images-amazon.com/images/I/813qLA6tOYL._AC_UL200_SR200,200_.jpg","29,90 ","4,1",92,https://www.amazon.de/Your-Superfoods-Super-Green-Superfood/dp/B01619P93G/ref=zg_bs_9418400031_37/257-8466628-1053461?_encoding=UTF8&psc=1&refRID=9PA85P2EM634CRMAVCGX,B01619P93G
